text,category
"Your salary of INR 38931.07 has been credited to A/c XXXX33 on 05th May 2024, 12:00 AM via IMPS from Morgan, Duncan and Burgess. Current Balance: INR 3,856.93.",income
"INR 4536.76 credited to A/c XXXX59 on 02th May 2024, 12:00 AM via IMPS from Oneal-Jones. Current Balance: INR 6,409.91.",income
"INR 343.35 credited to A/c XXXX71 on 06th May 2024, 12:00 AM via RTGS from Hess and Sons. Current Balance: INR 9,207.39.",income
"INR 2013.49 credited to A/c XXXX38 on 10th May 2024, 12:00 AM via UPI from Nichols and Sons. Current Balance: INR 8,243.07.",income
"Dear Customer, INR 813.15 has been credited to A/c XXXX27 on 06th May 2024, 12:00 AM, 08:07 AM via IMPS from Watson, Durham and Martinez. Current Balance: INR 8,120.49.",income
VPA 319.645.1244x04771@paytm linked to SBI a/c XX8862 debited Rs.3312.26 and credited to GB04TDMO36360871077065.ifsc.npci -Ref 589710308051,expense
"Rs.1128.65 Credited to SB-xxx7858 AcBal:3475.94 CLRBal: 17,137.57 [572551] Jenkins Ways on 07th May 2024, 12:00 AM. Sanchez, Fernandez and Flynn.",income
4868.14 Debited ATM Card Maint Charge GST in your Ac XX8282 on 2024-04-24. .Avl BalRs 6599.88.,expense
"INR 408.07 credited to A/c XXXX95 on 02th May 2024, 12:00 AM via RTGS from Fitzgerald-James. Current Balance: INR 4,895.51.",income
"Dear Customer, INR 699.04 has been credited to A/c XXXX57 on 02th May 2024, 12:00 AM, 05:39 AM via IMPS from Hunter-Joseph. Current Balance: INR 8,024.13.",income
"Sent Rs.6521.14 from Axis Bank AC X4047 to googlepay7670058@paytm on 2024-01-24.UPI Ref 276321067417. Not you, http://walters-briggs.com/",expense
"INR 145.40 credited to A/c XXXX73 on 04th May 2024, 12:00 AM via RTGS from Cruz Inc. Current Balance: INR 8,317.42.",income
"Dear Customer, INR 922.92 has been credited to A/c XXXX73 on 10th May 2024, 12:00 AM, 07:23 PM via IMPS from Snyder, Romero and Scott. Current Balance: INR 3,140.35.",income
"Sent Rs.6900.53 from Axis Bank AC X8049 to paytm7443334@paytm on 2024-01-25.UPI Ref 437994034705. Not you, https://santos.info/",expense
UPI -VPA 422.752.1615x559@paytm linked to ICICI a/c XX4585 debited Rs.6691.09 and credited to IXUP05997872022392.ifsc.npci -Ref 431713536571,expense
"Rs.4714.17 Credited to SB-xxx1450 AcBal:1196.97 CLRBal: 18,594.21 [463534] Matthew Orchard on 11th May 2024, 12:00 AM. Walker-Jenkins.",income
"INR 3835.55 credited to A/c XXXX50 on 10th May 2024, 12:00 AM via RTGS from Harris, Collins and Holland. Current Balance: INR 5,550.43.",income
UPI -VPA 368.226.3328x09231@paytm linked to HDFC a/c XX6462 debited Rs.9671.79 and credited to LUWF53701811467690.ifsc.npci -Ref 953803327370,expense
"Rs.2390.75 Credited to SB-xxx9689 AcBal:3007.45 CLRBal: 15,260.00 [87289] Huffman Stravenue on 11th May 2024, 12:00 AM. Santiago LLC.",income
"Your salary of INR 26610.58 has been credited to A/c XXXX97 on 08th May 2024, 12:00 AM via UPI from Lopez, Bradley and Wolfe. Current Balance: INR 4,674.33.",income
"Rs.4989.45 Credited to SB-xxx4249 AcBal:2341.42 CLRBal: 13,377.34 [98536] Bean Knolls on 05th May 2024, 12:00 AM. Garcia, Hall and Barker.",income
"Your salary of INR 31195.44 has been credited to A/c XXXX17 on 03th May 2024, 12:00 AM via RTGS from Chen-Costa. Current Balance: INR 1,921.93.",income
"Your salary of INR 29783.45 has been credited to A/c XXXX51 on 02th May 2024, 12:00 AM via RTGS from Wolf-Adams. Current Balance: INR 7,372.76.",income
"Dear Customer, INR 558.29 has been credited to A/c XXXX53 on 03th May 2024, 12:00 AM, 02:47 AM via IMPS from Sanders, Martinez and Fields. Current Balance: INR 5,199.97.",income
7111.28 Debited ATM Card Maint Charge GST in your Ac XX7796 on 2024-01-02. .Avl BalRs 528.83.,expense
VPA 001-383-926-8468x54420@paytm linked to SBI a/c XX9255 debited Rs.4438.99 and credited to RVPR57268179500207.ifsc.npci -Ref 919756071720,expense
"Your salary of INR 34043.67 has been credited to A/c XXXX57 on 09th May 2024, 12:00 AM via RTGS from Perry, Myers and Newton. Current Balance: INR 6,402.79.",income
"INR 350.63 credited to A/c XXXX10 on 12th May 2024, 12:00 AM via RTGS from Mcguire and Sons. Current Balance: INR 1,673.17.",income
"INR 442.97 credited to A/c XXXX18 on 07th May 2024, 12:00 AM via RTGS from Kent, Castillo and Ellison. Current Balance: INR 7,804.01.",income
"INR 4160.37 credited to A/c XXXX80 on 07th May 2024, 12:00 AM via RTGS from Ross Ltd. Current Balance: INR 1,044.89.",income
"Sent Rs.9455.96 from SBI Bank AC X1666 to paytm4814650@paytm on 2024-01-25.UPI Ref 913335151761. Not you, http://www.marsh.com/",expense
"Your salary of INR 35156.33 has been credited to A/c XXXX78 on 04th May 2024, 12:00 AM via RTGS from Barajas, Ware and Young. Current Balance: INR 6,160.62.",income
"Sent Rs.7507.28 from Axis Bank AC X4913 to phonepe4879872@paytm on 2024-03-07.UPI Ref 609265698023. Not you, https://johnson-powell.info/",expense
VPA 475.239.7294x20221@paytm linked to SBI a/c XX7904 debited Rs.5067.44 and credited to SEOR76231644915144.ifsc.npci -Ref 169041549220,expense
4297.57 Debited ATM Card Maint Charge GST in your Ac XX8109 on 2024-04-10. .Avl BalRs 7390.38.,expense
VPA 001-998-915-6273x80280@paytm linked to HDFC a/c XX3087 debited Rs.4493.98 and credited to GB43SBTK64887482014421.ifsc.npci -Ref 353912294443,expense
"Rs.3578.31 Credited to SB-xxx6283 AcBal:4714.02 CLRBal: 14,651.26 [936310] Moyer Mills on 10th May 2024, 12:00 AM. Calhoun and Sons.",income
1789.10 Debited ATM Card Maint Charge GST in your Ac XX9272 on 2024-03-09. .Avl BalRs 7158.03.,expense
UPI -VPA 317-207-2246@paytm linked to HDFC a/c XX8842 debited Rs.3755.72 and credited to OXOM91302598778504.ifsc.npci -Ref 879048510864,expense
1326.17 Debited ATM Card Maint Charge GST in your Ac XX4334 on 2024-05-02. .Avl BalRs 2749.19.,expense
"INR 3094.80 credited to A/c XXXX90 on 03th May 2024, 12:00 AM via IMPS from Kramer Inc. Current Balance: INR 8,529.82.",income
"INR 1291.11 credited to A/c XXXX63 on 07th May 2024, 12:00 AM via RTGS from Henry-Mann. Current Balance: INR 1,327.11.",income
"INR 333.30 credited to A/c XXXX65 on 07th May 2024, 12:00 AM via RTGS from Kirk, Henson and Porter. Current Balance: INR 2,645.67.",income
"INR 2164.87 credited to A/c XXXX72 on 02th May 2024, 12:00 AM via IMPS from Blackwell, Galloway and Romero. Current Balance: INR 5,106.41.",income
UPI -VPA +1-652-426-9472x4717@paytm linked to Bank a/c XX6746 debited Rs.6370.18 and credited to AZHN25094437212698.ifsc.npci -Ref 966630277312,expense
UPI -VPA (879)957-5674@paytm linked to SBI a/c XX2645 debited Rs.6694.67 and credited to EVGO10563928017972.ifsc.npci -Ref 714965949691,expense
VPA 924-681-4907x8935@paytm linked to Bank a/c XX1820 debited Rs.5214.72 and credited to RCFK96921881720011.ifsc.npci -Ref 918431418716,expense
7115.71 Debited ATM Card Maint Charge GST in your Ac XX2076 on 2024-01-29. .Avl BalRs 8018.75.,expense
"INR 68.26 credited to A/c XXXX38 on 09th May 2024, 12:00 AM via RTGS from Roberts and Sons. Current Balance: INR 4,326.02.",income
"Sent Rs.7890.34 from Kotak Bank AC X8278 to paytm8993951@paytm on 2024-03-30.UPI Ref 217488255226. Not you, https://nguyen.com/",expense
"Your salary of INR 22788.20 has been credited to A/c XXXX69 on 11th May 2024, 12:00 AM via IMPS from Mccoy, Smith and Watkins. Current Balance: INR 1,489.88.",income
"Dear Customer, INR 164.88 has been credited to A/c XXXX69 on 01th May 2024, 12:00 AM, 07:33 AM via IMPS from Dalton Ltd. Current Balance: INR 9,421.91.",income
VPA 613-297-7373@paytm linked to SBI a/c XX2957 debited Rs.5419.43 and credited to INPI19000393283764.ifsc.npci -Ref 581056048955,expense
"Sent Rs.5028.79 from SBI Bank AC X2477 to googlepay3800238@paytm on 2024-02-18.UPI Ref 131409256806. Not you, http://torres.com/",expense
"INR 1073.33 credited to A/c XXXX41 on 08th May 2024, 12:00 AM via RTGS from Hernandez-Montgomery. Current Balance: INR 4,671.30.",income
"INR 2999.73 credited to A/c XXXX47 on 07th May 2024, 12:00 AM via RTGS from White, Hill and Salazar. Current Balance: INR 2,759.63.",income
"Sent Rs.9757.57 from Kotak Bank AC X4568 to googlepay6782101@paytm on 2024-05-03.UPI Ref 243171374032. Not you, https://lewis.info/",expense
6526.03 Debited ATM Card Maint Charge GST in your Ac XX2604 on 2024-02-12. .Avl BalRs 5738.99.,expense
"INR 381.59 credited to A/c XXXX91 on 09th May 2024, 12:00 AM via RTGS from Fox, Park and Bass. Current Balance: INR 3,550.48.",income
VPA (432)512-8556x84473@paytm linked to SBI a/c XX5121 debited Rs.4340.60 and credited to GB15ABBU95820586739238.ifsc.npci -Ref 816289625966,expense
"INR 3010.08 credited to A/c XXXX44 on 08th May 2024, 12:00 AM via RTGS from Wilkins Group. Current Balance: INR 7,061.68.",income
"Dear Customer, INR 145.16 has been credited to A/c XXXX97 on 05th May 2024, 12:00 AM, 09:34 AM via IMPS from Hess, Kim and Collins. Current Balance: INR 7,532.70.",income
"INR 2517.75 credited to A/c XXXX75 on 09th May 2024, 12:00 AM via IMPS from Brown-Watson. Current Balance: INR 8,981.92.",income
"Rs.2616.48 Credited to SB-xxx2452 AcBal:2472.92 CLRBal: 11,719.76 [950563] Thomas Grove on 02th May 2024, 12:00 AM. Cooper, Mccall and Ortega.",income
"INR 171.17 credited to A/c XXXX95 on 05th May 2024, 12:00 AM via RTGS from Patel-Price. Current Balance: INR 6,022.25.",income
"Sent Rs.2489.91 from Kotak Bank AC X7364 to phonepe8688334@paytm on 2024-02-07.UPI Ref 368029319302. Not you, http://www.moore-ward.com/",expense
7238.83 Debited ATM Card Maint Charge GST in your Ac XX6546 on 2024-02-20. .Avl BalRs 2884.19.,expense
3874.32 Debited ATM Card Maint Charge GST in your Ac XX6863 on 2024-05-08. .Avl BalRs 8717.32.,expense
"Sent Rs.1972.62 from HDFC Bank AC X5102 to phonepe8080518@paytm on 2024-03-31.UPI Ref 862955974516. Not you, https://www.underwood.biz/",expense
VPA 213.500.9522x2543@paytm linked to ICICI a/c XX6876 debited Rs.6403.64 and credited to SECX42562720013346.ifsc.npci -Ref 998259198507,expense
UPI -VPA 791.241.2833x46893@paytm linked to SBI a/c XX4634 debited Rs.4970.97 and credited to GB32BJON73454718766704.ifsc.npci -Ref 120740298345,expense
"INR 1645.37 credited to A/c XXXX15 on 02th May 2024, 12:00 AM via UPI from Blevins-Roberts. Current Balance: INR 6,359.56.",income
UPI -VPA (250)319-0792@paytm linked to HDFC a/c XX1831 debited Rs.9829.94 and credited to GB66QRQC01038394420308.ifsc.npci -Ref 435325115784,expense
3926.32 Debited ATM Card Maint Charge GST in your Ac XX6883 on 2024-02-23. .Avl BalRs 8639.95.,expense
2618.42 Debited ATM Card Maint Charge GST in your Ac XX7814 on 2024-04-03. .Avl BalRs 2360.52.,expense
"INR 433.81 credited to A/c XXXX59 on 06th May 2024, 12:00 AM via UPI from Jenkins-Pugh. Current Balance: INR 7,905.13.",income
"Your salary of INR 43002.93 has been credited to A/c XXXX99 on 12th May 2024, 12:00 AM via UPI from Smith, Smith and Chapman. Current Balance: INR 5,687.61.",income
"Sent Rs.3881.77 from SBI Bank AC X9692 to phonepe7226818@paytm on 2024-01-19.UPI Ref 674576070658. Not you, http://www.castro.com/",expense
"INR 1499.64 credited to A/c XXXX63 on 05th May 2024, 12:00 AM via RTGS from Carrillo and Sons. Current Balance: INR 5,234.04.",income
"Rs.1626.99 Credited to SB-xxx7504 AcBal:2937.46 CLRBal: 19,067.11 [97729] Jacqueline Tunnel on 11th May 2024, 12:00 AM. Chambers-Webb.",income
UPI -VPA (503)518-4774@paytm linked to HDFC a/c XX2397 debited Rs.1595.95 and credited to QMZA26398485814121.ifsc.npci -Ref 883808845688,expense
1435.42 Debited ATM Card Maint Charge GST in your Ac XX7014 on 2024-02-08. .Avl BalRs 8407.63.,expense
VPA 001-750-648-8484@paytm linked to HDFC a/c XX5345 debited Rs.3122.42 and credited to NJJZ07134136941931.ifsc.npci -Ref 701762123781,expense
"INR 112.57 credited to A/c XXXX47 on 08th May 2024, 12:00 AM via RTGS from Blackwell, Brown and Guzman. Current Balance: INR 2,122.48.",income
7265.90 Debited ATM Card Maint Charge GST in your Ac XX7729 on 2024-04-24. .Avl BalRs 5303.57.,expense
"Your salary of INR 15557.76 has been credited to A/c XXXX92 on 12th May 2024, 12:00 AM via RTGS from Rush, Stein and Martinez. Current Balance: INR 1,794.57.",income
"INR 4679.80 credited to A/c XXXX81 on 04th May 2024, 12:00 AM via UPI from Allen, Harris and Caldwell. Current Balance: INR 3,752.80.",income
"Your salary of INR 43704.70 has been credited to A/c XXXX81 on 08th May 2024, 12:00 AM via UPI from Merritt-Martin. Current Balance: INR 1,719.10.",income
"Rs.2894.51 Credited to SB-xxx3491 AcBal:3573.36 CLRBal: 19,461.60 [959174] Molina Landing on 08th May 2024, 12:00 AM. Nelson, Jackson and Warren.",income
"Dear Customer, INR 560.73 has been credited to A/c XXXX99 on 09th May 2024, 12:00 AM, 11:30 PM via IMPS from Stewart LLC. Current Balance: INR 2,643.25.",income
UPI -VPA (781)472-4606x18216@paytm linked to Bank a/c XX4738 debited Rs.660.11 and credited to GB37GUKF15144995572762.ifsc.npci -Ref 804038327574,expense
"Sent Rs.7090.15 from HDFC Bank AC X5523 to googlepay6455957@paytm on 2024-02-23.UPI Ref 887320894379. Not you, http://wright.com/",expense
6961.79 Debited ATM Card Maint Charge GST in your Ac XX9954 on 2024-01-21. .Avl BalRs 1393.66.,expense
"Dear Customer, INR 874.08 has been credited to A/c XXXX90 on 03th May 2024, 12:00 AM, 05:33 PM via IMPS from Trujillo, Brown and Sutton. Current Balance: INR 2,216.65.",income
"Your salary of INR 35944.71 has been credited to A/c XXXX80 on 10th May 2024, 12:00 AM via RTGS from Wilcox, Ramirez and Salazar. Current Balance: INR 1,586.52.",income
"Dear Customer, INR 625.67 has been credited to A/c XXXX95 on 02th May 2024, 12:00 AM, 09:14 AM via IMPS from Mitchell Inc. Current Balance: INR 7,304.34.",income
UPI -VPA 361.748.3006@paytm linked to HDFC a/c XX1922 debited Rs.2222.85 and credited to MUAD19567183897667.ifsc.npci -Ref 731623836350,expense
"Sent Rs.2388.01 from SBI Bank AC X4973 to googlepay1341478@paytm on 2024-01-30.UPI Ref 812647557712. Not you, https://www.elliott.com/",expense
"INR 1536.12 credited to A/c XXXX18 on 12th May 2024, 12:00 AM via RTGS from Phelps PLC. Current Balance: INR 1,712.29.",income
"INR 1107.97 credited to A/c XXXX39 on 10th May 2024, 12:00 AM via UPI from Villegas Group. Current Balance: INR 4,993.35.",income
"Sent Rs.9496.22 from SBI Bank AC X8246 to phonepe7803067@paytm on 2024-02-28.UPI Ref 675311948622. Not you, http://villanueva.org/",expense
"Dear Customer, INR 316.80 has been credited to A/c XXXX42 on 03th May 2024, 12:00 AM, 05:26 PM via IMPS from Beasley-Wood. Current Balance: INR 2,616.08.",income
"Your salary of INR 20146.82 has been credited to A/c XXXX37 on 04th May 2024, 12:00 AM via IMPS from Thompson, Harris and Parker. Current Balance: INR 2,899.87.",income
"Dear Customer, INR 781.02 has been credited to A/c XXXX80 on 06th May 2024, 12:00 AM, 12:29 AM via IMPS from White, Davis and Anderson. Current Balance: INR 6,374.96.",income
VPA +1-249-437-9643x4384@paytm linked to HDFC a/c XX4524 debited Rs.4925.88 and credited to GB51DFCX36151099177858.ifsc.npci -Ref 104439029991,expense
UPI -VPA (941)996-4065@paytm linked to SBI a/c XX3658 debited Rs.6807.22 and credited to GB54ZYVA21156350362448.ifsc.npci -Ref 761732886650,expense
UPI -VPA (357)992-7378x1067@paytm linked to SBI a/c XX6509 debited Rs.5872.29 and credited to HDRW03876304098254.ifsc.npci -Ref 787421478822,expense
8873.18 Debited ATM Card Maint Charge GST in your Ac XX4468 on 2024-01-29. .Avl BalRs 5392.52.,expense
"INR 1585.63 credited to A/c XXXX26 on 05th May 2024, 12:00 AM via UPI from Chambers-Stewart. Current Balance: INR 3,891.30.",income
"Dear Customer, INR 888.25 has been credited to A/c XXXX15 on 01th May 2024, 12:00 AM, 02:46 AM via IMPS from White, Gibson and Campbell. Current Balance: INR 3,808.15.",income
"INR 258.59 credited to A/c XXXX34 on 10th May 2024, 12:00 AM via RTGS from Palmer-Scott. Current Balance: INR 4,283.93.",income
UPI -VPA 536-664-1344x77451@paytm linked to Bank a/c XX1075 debited Rs.8774.46 and credited to GB76VBWJ37517788961401.ifsc.npci -Ref 256067788263,expense
6391.84 Debited ATM Card Maint Charge GST in your Ac XX2644 on 2024-03-19. .Avl BalRs 562.17.,expense
"Sent Rs.762.35 from Axis Bank AC X7383 to googlepay5684344@paytm on 2024-04-24.UPI Ref 143282654384. Not you, https://www.white-adams.com/",expense
"Rs.2491.27 Credited to SB-xxx6958 AcBal:1337.21 CLRBal: 19,446.44 [407625] Green Skyway on 01th May 2024, 12:00 AM. Waters-Shaw.",income
VPA 342-298-3639x53970@paytm linked to ICICI a/c XX6959 debited Rs.6518.45 and credited to GB57IMWU26454136554141.ifsc.npci -Ref 474168295623,expense
"INR 251.65 credited to A/c XXXX80 on 04th May 2024, 12:00 AM via RTGS from Smith and Sons. Current Balance: INR 9,999.45.",income
"INR 488.72 credited to A/c XXXX50 on 06th May 2024, 12:00 AM via RTGS from Johnson, Miller and Duke. Current Balance: INR 9,137.79.",income
"INR 44.44 credited to A/c XXXX32 on 02th May 2024, 12:00 AM via RTGS from Kirby LLC. Current Balance: INR 2,312.33.",income
"INR 311.06 credited to A/c XXXX83 on 02th May 2024, 12:00 AM via RTGS from Cooper and Sons. Current Balance: INR 6,085.88.",income
"Your salary of INR 30650.22 has been credited to A/c XXXX42 on 02th May 2024, 12:00 AM via UPI from Casey-Williams. Current Balance: INR 5,012.35.",income
675.39 Debited ATM Card Maint Charge GST in your Ac XX5797 on 2024-02-18. .Avl BalRs 1091.06.,expense
"Rs.4704.43 Credited to SB-xxx4802 AcBal:1937.40 CLRBal: 16,697.22 [151439] Sara Trafficway on 02th May 2024, 12:00 AM. Holt-Shannon.",income
VPA (938)942-7617x340@paytm linked to SBI a/c XX8933 debited Rs.110.03 and credited to GB12GZLU03769104403821.ifsc.npci -Ref 228574782039,expense
"Rs.1995.79 Credited to SB-xxx8270 AcBal:3608.10 CLRBal: 17,326.08 [800879] Patton Lock on 04th May 2024, 12:00 AM. Miller, Zimmerman and English.",income
UPI -VPA 001-295-323-6716x638@paytm linked to ICICI a/c XX2616 debited Rs.960.53 and credited to GB66IGAN37991338978865.ifsc.npci -Ref 502430648624,expense
"Dear Customer, INR 777.15 has been credited to A/c XXXX60 on 06th May 2024, 12:00 AM, 05:00 PM via IMPS from Koch-Wade. Current Balance: INR 9,756.03.",income
"Sent Rs.6024.30 from HDFC Bank AC X8089 to phonepe3535690@paytm on 2024-01-12.UPI Ref 951545533859. Not you, http://allen.net/",expense
"Your salary of INR 44276.51 has been credited to A/c XXXX92 on 02th May 2024, 12:00 AM via IMPS from Mathews-Watson. Current Balance: INR 1,754.73.",income
VPA +1-730-685-6806@paytm linked to HDFC a/c XX1033 debited Rs.4058.21 and credited to TETR52191209430539.ifsc.npci -Ref 404992528879,expense
3968.34 Debited ATM Card Maint Charge GST in your Ac XX6873 on 2024-03-03. .Avl BalRs 7907.99.,expense
"INR 136.40 credited to A/c XXXX98 on 12th May 2024, 12:00 AM via RTGS from Santos, Barker and Oconnor. Current Balance: INR 8,206.73.",income
"Dear Customer, INR 543.24 has been credited to A/c XXXX29 on 08th May 2024, 12:00 AM, 05:35 AM via IMPS from Newman-Jones. Current Balance: INR 9,029.18.",income
"INR 44.69 credited to A/c XXXX51 on 08th May 2024, 12:00 AM via RTGS from Chen, Watkins and Webb. Current Balance: INR 3,166.10.",income
3919.52 Debited ATM Card Maint Charge GST in your Ac XX8318 on 2024-01-24. .Avl BalRs 3268.15.,expense
"INR 279.79 credited to A/c XXXX77 on 10th May 2024, 12:00 AM via RTGS from Roberts, Kennedy and Brown. Current Balance: INR 4,063.36.",income
1312.89 Debited ATM Card Maint Charge GST in your Ac XX4577 on 2024-03-07. .Avl BalRs 2086.26.,expense
8314.22 Debited ATM Card Maint Charge GST in your Ac XX7313 on 2024-04-04. .Avl BalRs 6074.62.,expense
4347.66 Debited ATM Card Maint Charge GST in your Ac XX9114 on 2024-03-31. .Avl BalRs 1739.22.,expense
UPI -VPA (553)776-9482@paytm linked to Bank a/c XX7331 debited Rs.1176.09 and credited to GB76JHEG75614453963276.ifsc.npci -Ref 987862234592,expense
"Your salary of INR 11855.52 has been credited to A/c XXXX95 on 03th May 2024, 12:00 AM via UPI from Ortiz, Walters and Gross. Current Balance: INR 1,588.75.",income
UPI -VPA +1-480-681-6777@paytm linked to ICICI a/c XX6407 debited Rs.1211.13 and credited to GB60SGCF87338198684350.ifsc.npci -Ref 924299504615,expense
"Dear Customer, INR 304.51 has been credited to A/c XXXX25 on 06th May 2024, 12:00 AM, 10:04 AM via IMPS from Castaneda, White and Young. Current Balance: INR 9,409.83.",income
"INR 4725.09 credited to A/c XXXX11 on 02th May 2024, 12:00 AM via IMPS from Johnson LLC. Current Balance: INR 4,077.06.",income
463.61 Debited ATM Card Maint Charge GST in your Ac XX9292 on 2024-05-11. .Avl BalRs 4861.11.,expense
4075.00 Debited ATM Card Maint Charge GST in your Ac XX2631 on 2024-03-31. .Avl BalRs 1256.50.,expense
VPA (411)736-6909@paytm linked to SBI a/c XX2327 debited Rs.2364.24 and credited to VOQH51859318486080.ifsc.npci -Ref 412646002713,expense
3814.19 Debited ATM Card Maint Charge GST in your Ac XX4064 on 2024-04-04. .Avl BalRs 8677.17.,expense
"Dear Customer, INR 554.24 has been credited to A/c XXXX86 on 07th May 2024, 12:00 AM, 12:38 PM via IMPS from Walsh PLC. Current Balance: INR 7,016.89.",income
4549.27 Debited ATM Card Maint Charge GST in your Ac XX8689 on 2024-03-01. .Avl BalRs 7546.19.,expense
8485.08 Debited ATM Card Maint Charge GST in your Ac XX2996 on 2024-03-08. .Avl BalRs 2205.85.,expense
UPI -VPA 838-300-2042@paytm linked to ICICI a/c XX3889 debited Rs.9267.98 and credited to GB11IBJZ55269809127998.ifsc.npci -Ref 179918446121,expense
VPA 001-969-209-3690x2624@paytm linked to HDFC a/c XX6596 debited Rs.7649.32 and credited to BJSK25722110036284.ifsc.npci -Ref 342565792758,expense
"INR 4593.85 credited to A/c XXXX60 on 11th May 2024, 12:00 AM via UPI from Fowler Group. Current Balance: INR 5,161.79.",income
"Sent Rs.447.36 from Axis Bank AC X2323 to googlepay6870590@paytm on 2024-03-22.UPI Ref 616628519885. Not you, http://turner.com/",expense
"Sent Rs.2476.91 from SBI Bank AC X2518 to googlepay2646051@paytm on 2024-03-07.UPI Ref 106005739233. Not you, http://patrick-ortiz.com/",expense
8628.24 Debited ATM Card Maint Charge GST in your Ac XX2380 on 2024-02-13. .Avl BalRs 8969.21.,expense
"INR 85.91 credited to A/c XXXX41 on 11th May 2024, 12:00 AM via IMPS from Riddle-Moss. Current Balance: INR 4,291.01.",income
9403.34 Debited ATM Card Maint Charge GST in your Ac XX6627 on 2024-02-20. .Avl BalRs 3939.21.,expense
"INR 4866.31 credited to A/c XXXX27 on 09th May 2024, 12:00 AM via IMPS from Smith-Washington. Current Balance: INR 5,007.77.",income
"Sent Rs.5024.57 from HDFC Bank AC X9549 to phonepe8427477@paytm on 2024-03-27.UPI Ref 828499261146. Not you, https://www.meyers.org/",expense
"Rs.2132.95 Credited to SB-xxx6062 AcBal:2961.11 CLRBal: 19,195.91 [714629] Nicholas Highway on 04th May 2024, 12:00 AM. Ford, Davis and Sellers.",income
"INR 303.51 credited to A/c XXXX49 on 05th May 2024, 12:00 AM via RTGS from Hill-Leon. Current Balance: INR 6,036.42.",income
"INR 4774.66 credited to A/c XXXX22 on 02th May 2024, 12:00 AM via RTGS from Bishop-Garza. Current Balance: INR 8,385.50.",income
8341.50 Debited ATM Card Maint Charge GST in your Ac XX3321 on 2024-01-03. .Avl BalRs 9643.91.,expense
VPA +1-583-325-3640x242@paytm linked to Bank a/c XX2444 debited Rs.3140.45 and credited to GB92QLJD70465459345354.ifsc.npci -Ref 182151541658,expense
"Your salary of INR 10107.46 has been credited to A/c XXXX74 on 07th May 2024, 12:00 AM via IMPS from Rasmussen PLC. Current Balance: INR 9,277.56.",income
"INR 137.00 credited to A/c XXXX43 on 06th May 2024, 12:00 AM via RTGS from Schmidt Group. Current Balance: INR 5,696.74.",income
"Your salary of INR 18730.38 has been credited to A/c XXXX15 on 12th May 2024, 12:00 AM via RTGS from Smith-Levine. Current Balance: INR 7,739.76.",income
"INR 4538.64 credited to A/c XXXX80 on 02th May 2024, 12:00 AM via RTGS from Alvarez Group. Current Balance: INR 4,310.67.",income
"Rs.4114.79 Credited to SB-xxx3509 AcBal:4394.42 CLRBal: 14,797.82 [985460] Michael Hill on 01th May 2024, 12:00 AM. Dominguez-Wong.",income
"INR 361.44 credited to A/c XXXX62 on 02th May 2024, 12:00 AM via IMPS from Kemp-Sampson. Current Balance: INR 7,321.36.",income
5242.27 Debited ATM Card Maint Charge GST in your Ac XX6235 on 2024-01-20. .Avl BalRs 7097.47.,expense
"Your salary of INR 27251.39 has been credited to A/c XXXX46 on 07th May 2024, 12:00 AM via UPI from Baker-Morgan. Current Balance: INR 3,865.22.",income
UPI -VPA +1-257-850-8544@paytm linked to ICICI a/c XX3170 debited Rs.2607.61 and credited to GB70DQHH81691382347189.ifsc.npci -Ref 702460963312,expense
9892.95 Debited ATM Card Maint Charge GST in your Ac XX5731 on 2024-01-14. .Avl BalRs 9242.40.,expense
"Rs.1852.83 Credited to SB-xxx3045 AcBal:2010.27 CLRBal: 12,295.45 [47495] James Ville on 09th May 2024, 12:00 AM. Lawson, Kennedy and Thompson.",income
UPI -VPA 001-393-203-8624@paytm linked to SBI a/c XX9181 debited Rs.9973.51 and credited to UOEY47738153804037.ifsc.npci -Ref 225996089559,expense
"Your salary of INR 38697.51 has been credited to A/c XXXX73 on 11th May 2024, 12:00 AM via UPI from Stout PLC. Current Balance: INR 7,989.85.",income
UPI -VPA (323)581-9007@paytm linked to SBI a/c XX3660 debited Rs.9479.63 and credited to GB73MXKF81062144876435.ifsc.npci -Ref 831518348604,expense
"INR 257.06 credited to A/c XXXX63 on 07th May 2024, 12:00 AM via RTGS from Robinson, Hartman and Douglas. Current Balance: INR 1,660.28.",income
"INR 1955.77 credited to A/c XXXX59 on 11th May 2024, 12:00 AM via IMPS from Nguyen-Haley. Current Balance: INR 2,176.05.",income
"Sent Rs.2096.65 from Axis Bank AC X7903 to phonepe4310040@paytm on 2024-04-15.UPI Ref 932982593209. Not you, http://moody.com/",expense
9359.57 Debited ATM Card Maint Charge GST in your Ac XX9685 on 2024-04-10. .Avl BalRs 7200.17.,expense
"Rs.3665.98 Credited to SB-xxx1144 AcBal:2225.32 CLRBal: 11,497.45 [422437] Ronald Mills on 07th May 2024, 12:00 AM. Kirk, Greene and Bryan.",income
"INR 341.45 credited to A/c XXXX43 on 07th May 2024, 12:00 AM via RTGS from Garcia LLC. Current Balance: INR 4,564.43.",income
"INR 435.61 credited to A/c XXXX74 on 09th May 2024, 12:00 AM via RTGS from Hunter Inc. Current Balance: INR 9,081.19.",income
"Sent Rs.5131.90 from HDFC Bank AC X4277 to googlepay5026759@paytm on 2024-04-29.UPI Ref 661335886644. Not you, http://www.ford-smith.com/",expense
